年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2018,其他, -,旗津風景區,高雄市,64000,178457,233170,585701,322123,326023,325440,680096,622010,588647,636613,610532,751744,5860556
2018,其他, -,台東海洋夢想館,臺東縣,10014,991,1771,617,1459,693,1030,2890,2338,824,730,580,803,14726
2018,其他, -,慶修院,花蓮縣,10015,10971,12215,7685,21261,12771,18195,26628,29558,15179,12431,11776,23568,202238
2018,其他, -,花蓮縣石雕博物館,花蓮縣,10015,5905,3706,2903,15410,11715,4012,9282,10826,4996,2790,3656,3126,78327
2018,其他, -,澄清湖,高雄市,64000,118237,130035,148965,180177,131078,140139,130809,115659,149780,156849,139164,159966,1700858
2018,其他, -,新竹漁港,新竹市,10018,249256,170255,253749,351036,433546,657810,403177,391135,395786,421012,334124,255262,4316148
2018,其他, -,林口三井Outlet,新北市,65000,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,草嶺,雲林縣,10009,16160,24240,40080,42240,36000,30000,39200,32320,33440,38000,45000,50400,427080
2018,其他, -,墾丁海水浴場,屏東縣,10013,11251,19066,20491,19289,19997,21338,20669,22307,19332,22633,19299,20022,235694
2018,其他, -,關渡自然公園,臺北市,63000,8108,4410,10932,13082,11162,8997,9733,8904,9565,24331,12683,10734,132641
2018,其他, -,美麗華摩天輪,臺北市,63000,22450,23870,19291,20208,17109,17481,18135,20441,14160,19211,17060,24523,233939
2018,其他, -,台北101景觀台,臺北市,63000,200490,177877,185523,177751,165599,148835,158328,194286,149602,194757,190766,182236,2126050
2018,其他, -,雲仙樂園,新北市,65000,7620,13348,12087,14375,15959,10244,11829,10203,275,10744,8875,8071,123630
2018,其他, -,大板根森林溫泉渡假村,新北市,65000,14072,17765,12879,15290,14211,16412,16738,15819,17464,18395,16959,18994,194998
2018,其他, -,小人國主題樂園,桃園市,68000,21812,68542,53236,72084,43796,113999,96604,94988,34401,40671,39130,35570,714833
2018,其他, -,埔心牧場,桃園市,68000,5738,30529,10938,15472,18277,13558,9752,111720,28340,31543,23747,12317,311931
2018,其他, -,桃園市客家文化館,桃園市,68000,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,永安漁港,桃園市,68000,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,其他, -,六福村主題遊樂園,新竹縣,10004,54001,76275,86007,124060,90163,106329,213367,195836,111087,95543,107217,96624,1356509
2018,其他, -,小叮噹科學遊樂區,新竹縣,10004,14605,21069,22462,34193,23133,17714,42195,44452,25070,32576,24202,25831,327502
2018,其他, -,香格里拉樂園,苗栗縣,10005,5243,15740,7049,14060,9723,2710,5064,2269,8480,10360,10764,6175,97637
2018,其他, -,西湖渡假村,苗栗縣,10005,6329,6920,7950,22808,10875,5837,2540,5150,4191,20040,9552,10124,112316
2018,其他, -,杉林溪森林生態渡假園區,南投縣,10008,17071,30633,52600,81968,55539,62459,72548,50517,39135,40824,61959,40577,605830
2018,其他, -,泰雅渡假村,南投縣,10008,11798,16436,8266,12439,4870,4713,4814,4595,5522,10320,5986,10607,100366
2018,其他, -,紙教堂見學園區,南投縣,10008,12012,20501,11480,21223,11189,11657,21583,22491,15570,14978,11915,19001,193600
2018,其他, -,劍湖山世界,雲林縣,10009,61645,101780,81304,110455,69102,61909,93772,84680,62701,55993,59457,84664,927462
